,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
282,Otelocom,215755425,5646,4548,200,168,47.01,2313.65,48.10,200,0.0,0.0,0.0,0.0,0.03,0.705,0.265,28.57,2430.24,49.30,402,3.94,http://pbs.twimg.com/profile_images/945369491894165508/PTc2phvo_normal.jpg,https://pbs.twimg.com/profile_images/945369491894165508/PTc2phvo_normal.jpg
283,Natthcostaah,963575566128549889,1016,2341,200,156,51.78,6158.80,78.48,200,0.0,0.13,0.17,0.065,0.075,0.105,0.455,28.57,747.67,27.34,44,1.07,http://pbs.twimg.com/profile_images/1005575813327212551/BFsWwhin_normal.jpg,https://pbs.twimg.com/profile_images/1005575813327212551/BFsWwhin_normal.jpg
284,ThattySinceraa,981982985615536128,637,677,200,185,17408.43,707935732.94,26607.06,200,0.11,0.095,0.22,0.145,0.11,0.13,0.19,28.57,73.10,8.55,65,1.03,http://pbs.twimg.com/profile_images/982028035946762240/bZb_HguI_normal.jpg,https://pbs.twimg.com/profile_images/982028035946762240/bZb_HguI_normal.jpg
285,RIHNAVY77,889907377595711490,4476,4909,200,173,3884.85,30131088.53,5489.18,200,0.105,0.09,0.145,0.195,0.185,0.135,0.145,28.57,50.24,7.09,27,1.23,http://pbs.twimg.com/profile_images/1008142690658156546/UroXXMAI_normal.jpg,https://pbs.twimg.com/profile_images/1008142690658156546/UroXXMAI_normal.jpg
286,Sandro_Camaron,2355468055,1867,2222,200,159,3200.36,55808928.92,7470.54,200,0.31,0.185,0.04,0.13,0.145,0.07,0.12,28.57,264.53,16.26,54,1.17,http://pbs.twimg.com/profile_images/913767896198926339/AK-ZJ1J2_normal.jpg,https://pbs.twimg.com/profile_images/913767896198926339/AK-ZJ1J2_normal.jpg
287,waarii_17,873146023723626496,328,887,200,158,1347.66,14268975.77,3777.43,200,0.11,0.245,0.14,0.15,0.075,0.12,0.16,28.57,97.10,9.85,22,1.57,http://pbs.twimg.com/profile_images/1007788282346864640/OW6gOFjz_normal.jpg,https://pbs.twimg.com/profile_images/1007788282346864640/OW6gOFjz_normal.jpg
288,joeldesouza2626,3025900581,145531,139772,200,174,16.19,265.67,16.30,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.57,4897.96,69.99,77,3.08,http://pbs.twimg.com/profile_images/991310185842073600/GURC0KTq_normal.jpg,https://pbs.twimg.com/profile_images/991310185842073600/GURC0KTq_normal.jpg
289,Tarcieline,83929786,3461,3462,200,164,96.43,16148.48,127.08,200,0.0,0.0,0.2,0.29,0.29,0.115,0.105,28.57,511.96,22.63,106,1.09,http://pbs.twimg.com/profile_images/990427831653027840/NAzoPYC6_normal.jpg,https://pbs.twimg.com/profile_images/990427831653027840/NAzoPYC6_normal.jpg
290,porra_duda7,914547581233041408,448,338,200,163,233.85,111111.02,333.33,200,0.0,0.0,0.225,0.14,0.3,0.195,0.14,28.57,428.53,20.70,0,0.00,http://pbs.twimg.com/profile_images/1008053450477891585/H472W5oY_normal.jpg,https://pbs.twimg.com/profile_images/1008053450477891585/H472W5oY_normal.jpg
291,midorileal,806667134541713408,3167,2877,200,177,14843.07,566442232.54,23800.05,200,0.12,0.105,0.075,0.17,0.14,0.165,0.225,28.57,83.10,9.12,105,1.02,http://pbs.twimg.com/profile_images/976140711463710721/I31C47XK_normal.jpg,https://pbs.twimg.com/profile_images/976140711463710721/I31C47XK_normal.jpg
