,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
0,One_Pongo,4861564536,401,244,200,172,376.65,297842.39,545.75,197,0.18781725888324874,0.25888324873096447,0.16751269035532995,0.06598984771573604,0.0,0.0,0.3197969543147208,28.14,521.84,22.84,6,1.20,http://pbs.twimg.com/profile_images/1005974199045935104/kE6LReLB_normal.jpg,https://pbs.twimg.com/profile_images/1005974199045935104/kE6LReLB_normal.jpg
1,spfcluis_,2869588648,153,235,200,179,60834.87,4355995024.78,65999.96,200,0.19,0.125,0.185,0.13,0.14,0.09,0.14,28.57,41.67,6.46,13,1.00,http://pbs.twimg.com/profile_images/1001204188393693184/j64YWM0w_normal.jpg,https://pbs.twimg.com/profile_images/1001204188393693184/j64YWM0w_normal.jpg
2,Cordoba1EpiC,891458133368942593,16,472,200,181,76615.28,8822003320.77,93925.52,198,0.15656565656565657,0.13636363636363635,0.09090909090909091,0.15656565656565657,0.21212121212121213,0.13131313131313133,0.11616161616161616,28.29,49.06,7.00,60,2.40,http://pbs.twimg.com/profile_images/992464956598771712/AngtFq1o_normal.jpg,https://pbs.twimg.com/profile_images/992464956598771712/AngtFq1o_normal.jpg
3,fernandablu_,188895889,178,160,200,175,685238.31,722873551874.48,850219.71,192,0.140625,0.13020833333333334,0.171875,0.09895833333333333,0.10416666666666667,0.140625,0.21354166666666666,27.43,49.67,7.05,15,1.25,http://pbs.twimg.com/profile_images/967026890660810752/aDZ5T-bS_normal.jpg,https://pbs.twimg.com/profile_images/967026890660810752/aDZ5T-bS_normal.jpg
4,PrinciCraftim,3353855531,94,296,200,175,80777.49,11753613187.31,108414.08,199,0.15577889447236182,0.07035175879396985,0.1306532663316583,0.09045226130653267,0.15577889447236182,0.22613065326633167,0.1708542713567839,28.43,91.67,9.57,134,2.09,http://pbs.twimg.com/profile_images/952260667049988097/99oh0I-k_normal.jpg,https://pbs.twimg.com/profile_images/952260667049988097/99oh0I-k_normal.jpg
5,baphonick,824752856230133764,151,317,200,151,1276.72,8664925.49,2943.62,197,0.1218274111675127,0.18274111675126903,0.13705583756345177,0.26903553299492383,0.14213197969543148,0.09644670050761421,0.050761421319796954,28.14,158.69,12.60,4,1.00,http://pbs.twimg.com/profile_images/948286122840518657/o-quwk4i_normal.jpg,https://pbs.twimg.com/profile_images/948286122840518657/o-quwk4i_normal.jpg
