,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
257,mizraelmachado,81166959,30134,32831,200,161,935.77,4359461.46,2087.93,200,0.14,0.12,0.065,0.125,0.04,0.18,0.33,28.57,307.96,17.55,17,1.06,http://pbs.twimg.com/profile_images/970233662582214656/cmc3h9UH_normal.jpg,https://pbs.twimg.com/profile_images/970233662582214656/cmc3h9UH_normal.jpg
258,ludifer_,4236451589,10469,8370,200,170,793.14,2040162.47,1428.34,200,0.125,0.115,0.065,0.06,0.22,0.225,0.19,28.57,165.39,12.86,6,1.00,http://pbs.twimg.com/profile_images/1007847800485400577/_79881HV_normal.jpg,https://pbs.twimg.com/profile_images/1007847800485400577/_79881HV_normal.jpg
259,IngledisFernan1,912127491996831744,2175,3781,200,169,6410.96,159563049.12,12631.83,200,0.185,0.16,0.145,0.105,0.225,0.13,0.05,28.57,108.82,10.43,42,1.17,http://pbs.twimg.com/profile_images/1005997552934834176/gCoXYvRO_normal.jpg,https://pbs.twimg.com/profile_images/1005997552934834176/gCoXYvRO_normal.jpg
260,vitoudez,746074394385063936,504,501,200,165,986.46,2315640.03,1521.72,200,0.22,0.155,0.155,0.095,0.17,0.02,0.185,28.57,149.39,12.22,7,1.75,http://pbs.twimg.com/profile_images/1003405328996761600/stVuVXD7_normal.jpg,https://pbs.twimg.com/profile_images/1003405328996761600/stVuVXD7_normal.jpg
261,Peedro_Luucaas,3293682565,1875,4335,200,171,241.06,119984.60,346.39,200,0.14,0.0,0.0,0.0,0.055,0.455,0.35,28.57,1195.96,34.58,9,1.00,http://pbs.twimg.com/profile_images/1007107683089043456/i71v33i8_normal.jpg,https://pbs.twimg.com/profile_images/1007107683089043456/i71v33i8_normal.jpg
262,LuanaCotrim,726865992949895168,1127,956,200,183,17190.74,608881892.87,24675.53,200,0.095,0.155,0.13,0.125,0.21,0.205,0.08,28.57,87.10,9.33,9,1.29,http://pbs.twimg.com/profile_images/1007673657722851334/GIfbXME6_normal.jpg,https://pbs.twimg.com/profile_images/1007673657722851334/GIfbXME6_normal.jpg
263,maryjeey_,303853484,1807,1740,200,169,516.46,618267.87,786.30,200,0.065,0.0,0.205,0.235,0.16,0.185,0.15,28.57,233.96,15.30,3,1.50,http://pbs.twimg.com/profile_images/1005101370310123521/JvjuD6IC_normal.jpg,https://pbs.twimg.com/profile_images/1005101370310123521/JvjuD6IC_normal.jpg
264,CrissGomes7,53999246,423,552,200,178,68544.66,11419830997.75,106863.61,200,0.155,0.15,0.08,0.17,0.28,0.075,0.09,28.57,177.67,13.33,67,1.63,http://pbs.twimg.com/profile_images/728399036613529600/2ji7m9Qo_normal.jpg,https://pbs.twimg.com/profile_images/728399036613529600/2ji7m9Qo_normal.jpg
265,daviribeiro_s,733813322915581952,834,152,200,177,5815.94,75922735.45,8713.37,200,0.135,0.085,0.17,0.15,0.15,0.15,0.16,28.57,26.24,5.12,1,1.00,http://pbs.twimg.com/profile_images/1005481890030252037/lxsfX6Wh_normal.jpg,https://pbs.twimg.com/profile_images/1005481890030252037/lxsfX6Wh_normal.jpg
266,Dantaset,979511925926133760,134,200,200,184,19631.15,685285771.29,26177.96,200,0.16,0.195,0.16,0.175,0.13,0.115,0.065,28.57,64.82,8.05,5,1.25,http://pbs.twimg.com/profile_images/998190887040516096/Ms19p0Bn_normal.jpg,https://pbs.twimg.com/profile_images/998190887040516096/Ms19p0Bn_normal.jpg
267,LucianomLemes,1636137972,65,359,200,168,7490.27,235859733.03,15357.73,200,0.18,0.07,0.185,0.13,0.085,0.19,0.16,28.57,82.82,9.10,39,1.56,http://pbs.twimg.com/profile_images/1003342429771231232/r811bYlE_normal.jpg,https://pbs.twimg.com/profile_images/1003342429771231232/r811bYlE_normal.jpg
268,luccassoliveir,470597760,1010,894,200,167,696.62,1150508.19,1072.62,200,0.055,0.085,0.06,0.09,0.235,0.35,0.125,28.57,413.96,20.35,5,1.00,http://pbs.twimg.com/profile_images/1007709130818277376/MfgbQFsQ_normal.jpg,https://pbs.twimg.com/profile_images/1007709130818277376/MfgbQFsQ_normal.jpg
269,guelpr4,948750422138859522,1135,945,200,163,260.98,143142.57,378.34,200,0.08,0.255,0.17,0.185,0.105,0.085,0.12,28.57,139.10,11.79,2,1.00,http://pbs.twimg.com/profile_images/1007718504282443776/N8NhItfu_normal.jpg,https://pbs.twimg.com/profile_images/1007718504282443776/N8NhItfu_normal.jpg
270,_tayanr,2431192904,285,350,200,186,20667.94,648141061.10,25458.61,200,0.22,0.12,0.215,0.155,0.11,0.09,0.09,28.57,105.67,10.28,1,1.00,http://pbs.twimg.com/profile_images/1004211632510291968/twOO56HE_normal.jpg,https://pbs.twimg.com/profile_images/1004211632510291968/twOO56HE_normal.jpg
271,wheretori,282727577,2135,1373,200,178,526.91,377126.24,614.11,200,0.09,0.0,0.0,0.275,0.26,0.215,0.16,28.57,458.82,21.42,0,0.00,http://pbs.twimg.com/profile_images/1004820076904833024/UQJ5fKpH_normal.jpg,https://pbs.twimg.com/profile_images/1004820076904833024/UQJ5fKpH_normal.jpg
272,dudarodrgs_,1444375573,923,651,200,171,3911.51,49128840.92,7009.20,200,0.11,0.065,0.075,0.095,0.28,0.16,0.215,28.57,219.10,14.80,3,1.00,http://pbs.twimg.com/profile_images/972262470885756928/FHS9z-0U_normal.jpg,https://pbs.twimg.com/profile_images/972262470885756928/FHS9z-0U_normal.jpg
273,KarinaSants_,2843427039,25449,24042,200,190,59320.29,2729204328.51,52241.79,200,0.145,0.16,0.115,0.125,0.15,0.145,0.16,28.57,9.96,3.16,1,1.00,http://pbs.twimg.com/profile_images/1007094721527910401/ATTMv1jz_normal.jpg,https://pbs.twimg.com/profile_images/1007094721527910401/ATTMv1jz_normal.jpg
274,pbat_,1001246441501872131,219,559,200,172,289.02,184116.76,429.09,200,0.04,0.0,0.0,0.1,0.535,0.14,0.185,28.57,1193.10,34.54,5,1.00,http://pbs.twimg.com/profile_images/1007658109039529985/4gXbbZ3u_normal.jpg,https://pbs.twimg.com/profile_images/1007658109039529985/4gXbbZ3u_normal.jpg
275,nataliarfc,1661068429,5026,993,200,170,225.86,106239.43,325.94,200,0.1,0.0,0.0,0.0,0.32,0.435,0.145,28.57,1027.39,32.05,7,1.75,http://pbs.twimg.com/profile_images/1007431868504035328/mJPwNoi9_normal.jpg,https://pbs.twimg.com/profile_images/1007431868504035328/mJPwNoi9_normal.jpg
276,italoalves2603,802115212899913728,224,192,200,184,20495.39,747752777.42,27345.07,200,0.085,0.16,0.085,0.135,0.135,0.135,0.265,28.57,126.24,11.24,0,0.00,http://pbs.twimg.com/profile_images/1008707441901613062/6WcpCGCj_normal.jpg,https://pbs.twimg.com/profile_images/1008707441901613062/6WcpCGCj_normal.jpg
277,maryjeey_,303853484,1807,1740,200,169,516.46,618267.87,786.30,200,0.065,0.0,0.205,0.235,0.16,0.185,0.15,28.57,233.96,15.30,3,1.50,http://pbs.twimg.com/profile_images/1005101370310123521/JvjuD6IC_normal.jpg,https://pbs.twimg.com/profile_images/1005101370310123521/JvjuD6IC_normal.jpg
278,biaanca_s,2243632679,1136,331,200,172,150.52,44148.02,210.11,200,0.155,0.0,0.0,0.0,0.0,0.0,0.845,28.57,3401.10,58.32,7,1.40,http://pbs.twimg.com/profile_images/1007812409418047488/6eHq5jr0_normal.jpg,https://pbs.twimg.com/profile_images/1007812409418047488/6eHq5jr0_normal.jpg
279,_thaypl,979154263137021952,156,326,200,164,581.84,974491.89,987.16,200,0.105,0.085,0.06,0.23,0.175,0.075,0.27,28.57,234.53,15.31,0,0.00,http://pbs.twimg.com/profile_images/1008372748912091136/WhND5Ljb_normal.jpg,https://pbs.twimg.com/profile_images/1008372748912091136/WhND5Ljb_normal.jpg
280,_aniinhaliima,923129695658442752,153,178,200,182,51940.21,5027286844.03,70903.36,200,0.15,0.195,0.12,0.125,0.12,0.145,0.145,28.57,23.67,4.87,4,1.00,http://pbs.twimg.com/profile_images/980087583890911233/rc2FLhxO_normal.jpg,https://pbs.twimg.com/profile_images/980087583890911233/rc2FLhxO_normal.jpg
281,gischiochet,311505248,1686,813,200,161,954.39,2177768.55,1475.73,200,0.12,0.165,0.145,0.255,0.13,0.1,0.085,28.57,108.24,10.40,3,1.00,http://pbs.twimg.com/profile_images/973699575348424705/_y8ZQQs-_normal.jpg,https://pbs.twimg.com/profile_images/973699575348424705/_y8ZQQs-_normal.jpg
282,Miihh_laysa,932563455537766400,82,76,200,162,2609.60,40277599.99,6346.46,200,0.215,0.185,0.195,0.05,0.13,0.08,0.145,28.57,128.24,11.32,0,0.00,http://pbs.twimg.com/profile_images/1004966598426464256/hf4a4BRi_normal.jpg,https://pbs.twimg.com/profile_images/1004966598426464256/hf4a4BRi_normal.jpg
283,mclaragonf,967544709022453760,140,162,200,170,580.98,822962.99,907.17,200,0.25,0.09,0.105,0.09,0.18,0.07,0.215,28.57,173.67,13.18,1,1.00,http://pbs.twimg.com/profile_images/1004848376997990400/6hdlBsaq_normal.jpg,https://pbs.twimg.com/profile_images/1004848376997990400/6hdlBsaq_normal.jpg
284,maarcos_o,888222300302180352,1464,3964,200,168,24.36,711.30,26.67,200,0.0,0.0,0.0,0.065,0.345,0.17,0.42,28.57,1061.10,32.57,1,1.00,http://pbs.twimg.com/profile_images/1007449061895626752/-kNrrJ0K_normal.jpg,https://pbs.twimg.com/profile_images/1007449061895626752/-kNrrJ0K_normal.jpg
285,AlienM1gr4u2,831940693467750400,29201,32127,200,157,346.82,266187.85,515.93,200,0.125,0.24,0.05,0.04,0.11,0.155,0.28,28.57,279.96,16.73,0,0.00,http://pbs.twimg.com/profile_images/1004772478714044416/iPQqi5qQ_normal.jpg,https://pbs.twimg.com/profile_images/1004772478714044416/iPQqi5qQ_normal.jpg
286,pablyenne_v,841059332712214528,5420,4179,200,169,72.18,6534.62,80.84,200,0.085,0.0,0.0,0.1,0.665,0.105,0.045,28.57,1883.67,43.40,1,1.00,http://pbs.twimg.com/profile_images/1006486657409994753/OP9L_NHc_normal.jpg,https://pbs.twimg.com/profile_images/1006486657409994753/OP9L_NHc_normal.jpg
287,laisnovaaes,804851177636720640,187,204,200,161,3076.65,13112403.25,3621.11,200,0.175,0.205,0.105,0.18,0.075,0.08,0.18,28.57,100.82,10.04,1,1.00,http://pbs.twimg.com/profile_images/1008545672096833536/3MhXNqSW_normal.jpg,https://pbs.twimg.com/profile_images/1008545672096833536/3MhXNqSW_normal.jpg
288,Maaylf__,948039673192026113,304,216,200,163,753.94,2254281.64,1501.43,200,0.14,0.11,0.18,0.08,0.185,0.185,0.12,28.57,59.96,7.74,0,0.00,http://pbs.twimg.com/profile_images/1004951594100772865/WcFwI-dF_normal.jpg,https://pbs.twimg.com/profile_images/1004951594100772865/WcFwI-dF_normal.jpg
289,andressageovana,143214917,3514,1346,200,169,882.86,1814699.77,1347.11,200,0.155,0.11,0.075,0.06,0.255,0.245,0.1,28.57,214.53,14.65,2,1.00,http://pbs.twimg.com/profile_images/999029340879781889/r5r7phQ3_normal.jpg,https://pbs.twimg.com/profile_images/999029340879781889/r5r7phQ3_normal.jpg
290,Fabiana02174341,854743274569048069,936,909,200,169,1653.17,5655605.55,2378.15,200,0.14,0.145,0.185,0.09,0.11,0.15,0.18,28.57,40.53,6.37,56,1.19,http://pbs.twimg.com/profile_images/1007450412780269568/3jgLga5z_normal.jpg,https://pbs.twimg.com/profile_images/1007450412780269568/3jgLga5z_normal.jpg
291,SrPimenta_,4184247550,13656,6464,200,172,46646.64,2181116186.17,46702.42,200,0.085,0.065,0.08,0.265,0.185,0.165,0.155,28.57,175.39,13.24,0,0.00,http://pbs.twimg.com/profile_images/697325119132332032/kYi-SvxL_normal.jpg,https://pbs.twimg.com/profile_images/697325119132332032/kYi-SvxL_normal.jpg
292,Biel_Jr100,954158548866469888,1143,1411,200,180,13941.54,413467639.57,20333.90,200,0.11,0.115,0.09,0.105,0.26,0.115,0.205,28.57,139.67,11.82,12,1.71,http://pbs.twimg.com/profile_images/1007724611583258624/Tht-xtqh_normal.jpg,https://pbs.twimg.com/profile_images/1007724611583258624/Tht-xtqh_normal.jpg
293,WesleiSantosWS,293703169,2495,727,200,174,154499.40,55096771910.33,234727.02,200,0.1,0.105,0.12,0.115,0.105,0.16,0.295,28.57,168.24,12.97,66,1.18,http://pbs.twimg.com/profile_images/1005627967043784709/QpPrRZpR_normal.jpg,https://pbs.twimg.com/profile_images/1005627967043784709/QpPrRZpR_normal.jpg
294,luigicellindo,3295945385,1902,980,200,165,342.78,334099.21,578.01,200,0.145,0.355,0.045,0.125,0.17,0.065,0.095,28.57,365.67,19.12,2,1.00,http://pbs.twimg.com/profile_images/1007025421177761793/eyBjHztH_normal.jpg,https://pbs.twimg.com/profile_images/1007025421177761793/eyBjHztH_normal.jpg
295,FaelMartiins10,926779276346757121,231,213,200,167,499.98,550134.19,741.71,200,0.115,0.155,0.165,0.13,0.225,0.085,0.125,28.57,68.53,8.28,6,1.00,http://pbs.twimg.com/profile_images/995117366462820362/N9AoOkG__normal.jpg,https://pbs.twimg.com/profile_images/995117366462820362/N9AoOkG__normal.jpg
