,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
257,EvandroLaCoste,1135286161,5975,6259,200,177,8885.30,133501271.72,11554.28,200,0.09,0.175,0.105,0.145,0.165,0.195,0.125,28.57,50.24,7.09,33,1.27,http://pbs.twimg.com/profile_images/987447643440930817/OzyMmbds_normal.jpg,https://pbs.twimg.com/profile_images/987447643440930817/OzyMmbds_normal.jpg
258,moreena_01,2244418783,2076,906,200,164,823.20,2039079.67,1427.96,200,0.2,0.105,0.12,0.185,0.25,0.065,0.075,28.57,166.53,12.90,26,1.18,http://pbs.twimg.com/profile_images/1007622296746582016/33Tay9kb_normal.jpg,https://pbs.twimg.com/profile_images/1007622296746582016/33Tay9kb_normal.jpg
259,Jotaa_N,929758355480104961,11053,10089,200,158,247.18,327204.35,572.02,200,0.17,0.065,0.145,0.215,0.295,0.07,0.04,28.57,291.67,17.08,0,0.00,http://pbs.twimg.com/profile_images/992559408742912000/7algXl3p_normal.jpg,https://pbs.twimg.com/profile_images/992559408742912000/7algXl3p_normal.jpg
260,guitondinr,900448207309864960,4530,5000,200,170,268.01,66954.54,258.76,200,0.0,0.035,0.25,0.31,0.405,0.0,0.0,28.57,1034.24,32.16,137,1.10,http://pbs.twimg.com/profile_images/982257360885329921/0oCZ-RWn_normal.jpg,https://pbs.twimg.com/profile_images/982257360885329921/0oCZ-RWn_normal.jpg
261,Ariel_Thales,2323096422,303,182,200,183,55808.61,3398151843.23,58293.67,200,0.105,0.12,0.185,0.165,0.115,0.145,0.165,28.57,31.39,5.60,2,1.00,http://pbs.twimg.com/profile_images/700529756844924928/AeTtEtAf_normal.jpg,https://pbs.twimg.com/profile_images/700529756844924928/AeTtEtAf_normal.jpg
262,nrrober,2464829700,455,181,200,160,226.86,198837.53,445.91,200,0.02,0.095,0.085,0.095,0.215,0.33,0.16,28.57,363.10,19.06,1,1.00,http://pbs.twimg.com/profile_images/1006335575794778113/LvWAEq0o_normal.jpg,https://pbs.twimg.com/profile_images/1006335575794778113/LvWAEq0o_normal.jpg
263,JulhanoStreda,4628259436,517,464,200,167,149.20,28206.46,167.95,200,0.015,0.12,0.145,0.39,0.33,0.0,0.0,28.57,878.82,29.64,6,1.00,http://pbs.twimg.com/profile_images/1007469918923698176/xst44Vj__normal.jpg,https://pbs.twimg.com/profile_images/1007469918923698176/xst44Vj__normal.jpg
264,eduardoavogt,955452646885855233,160,359,200,175,15640.50,531370113.83,23051.47,200,0.13,0.175,0.095,0.13,0.155,0.12,0.195,28.57,40.24,6.34,3,1.50,http://pbs.twimg.com/profile_images/959221876718522370/fp_fpaQ9_normal.jpg,https://pbs.twimg.com/profile_images/959221876718522370/fp_fpaQ9_normal.jpg
265,heloisedalpai,3371266120,309,286,200,163,3416.63,52867939.68,7271.03,200,0.225,0.07,0.1,0.075,0.22,0.16,0.15,28.57,141.67,11.90,1,1.00,http://pbs.twimg.com/profile_images/1007731129632395270/Jdf80Hzq_normal.jpg,https://pbs.twimg.com/profile_images/1007731129632395270/Jdf80Hzq_normal.jpg
266,CorreioSCI,805845238715543552,968,2267,200,165,161.06,92494.91,304.13,200,0.24,0.265,0.005,0.28,0.035,0.11,0.065,28.57,462.53,21.51,2,1.00,http://pbs.twimg.com/profile_images/874086076629086209/UjRzbtJ8_normal.jpg,https://pbs.twimg.com/profile_images/874086076629086209/UjRzbtJ8_normal.jpg
267,gutchofee,884553829202763776,154,146,200,175,3573.34,21382310.65,4624.10,200,0.165,0.12,0.185,0.23,0.135,0.095,0.07,28.57,103.10,10.15,8,2.00,http://pbs.twimg.com/profile_images/1007717611382149120/15xCgGQR_normal.jpg,https://pbs.twimg.com/profile_images/1007717611382149120/15xCgGQR_normal.jpg
268,vnboff,163887558,1348,1129,200,168,127.82,17133.73,130.90,200,0.0,0.0,0.05,0.425,0.525,0.0,0.0,28.57,1805.10,42.49,0,0.00,http://pbs.twimg.com/profile_images/1006990698158190592/3-2Efvj8_normal.jpg,https://pbs.twimg.com/profile_images/1006990698158190592/3-2Efvj8_normal.jpg
269,ccarolina_am,1001651151891247105,145,128,200,167,660.72,822563.58,906.95,200,0.08,0.12,0.22,0.295,0.235,0.03,0.02,28.57,399.39,19.98,2,1.00,http://pbs.twimg.com/profile_images/1007445820092878849/l_xC29zB_normal.jpg,https://pbs.twimg.com/profile_images/1007445820092878849/l_xC29zB_normal.jpg
270,francimcr,67697735,1459,1756,200,161,9304.29,483866524.24,21996.97,200,0.08,0.21,0.175,0.115,0.215,0.15,0.055,28.57,132.82,11.52,15,1.00,http://pbs.twimg.com/profile_images/1003473278651060225/X7j9xIwM_normal.jpg,https://pbs.twimg.com/profile_images/1003473278651060225/X7j9xIwM_normal.jpg
271,kkllkjjjkkks,276365628,1037,327,200,179,11001.93,300580958.69,17337.27,200,0.145,0.17,0.175,0.24,0.14,0.07,0.06,28.57,133.67,11.56,2,1.00,http://pbs.twimg.com/profile_images/977675304608116736/pOxfhQKa_normal.jpg,https://pbs.twimg.com/profile_images/977675304608116736/pOxfhQKa_normal.jpg
272,Kennbat,732592941382967300,257,576,200,180,38504.98,3035153786.32,55092.23,200,0.155,0.18,0.12,0.15,0.175,0.085,0.135,28.57,37.39,6.11,2,2.00,http://pbs.twimg.com/profile_images/1006582847426228224/KzezOW81_normal.jpg,https://pbs.twimg.com/profile_images/1006582847426228224/KzezOW81_normal.jpg
273,vitrroo,3304266149,402,339,200,163,1476.37,4574492.69,2138.81,200,0.18,0.2,0.16,0.085,0.185,0.095,0.095,28.57,83.67,9.15,0,0.00,http://pbs.twimg.com/profile_images/1006360745439891457/QDlj8p0A_normal.jpg,https://pbs.twimg.com/profile_images/1006360745439891457/QDlj8p0A_normal.jpg
274,carlos_moraes6,891127510477438977,3296,4345,200,158,406.43,297476.78,545.41,200,0.075,0.185,0.2,0.185,0.125,0.18,0.05,28.57,124.24,11.15,73,1.03,http://pbs.twimg.com/profile_images/892429653079674880/489cxu18_normal.jpg,https://pbs.twimg.com/profile_images/892429653079674880/489cxu18_normal.jpg
275,eucastro111,870749244180885508,16266,13191,200,165,2587.81,8230318.99,2868.85,200,0.13,0.215,0.1,0.205,0.115,0.08,0.155,28.57,91.10,9.54,0,0.00,http://pbs.twimg.com/profile_images/999052291264020482/s4iF6cd9_normal.jpg,https://pbs.twimg.com/profile_images/999052291264020482/s4iF6cd9_normal.jpg
276,WelitonGoes,4385654962,221,88,200,156,295.05,552299.13,743.17,200,0.065,0.105,0.19,0.16,0.28,0.11,0.09,28.57,186.82,13.67,2,1.00,http://pbs.twimg.com/profile_images/994365194037071873/rgLne14J_normal.jpg,https://pbs.twimg.com/profile_images/994365194037071873/rgLne14J_normal.jpg
277,ralfe_s,213320219,3348,2771,200,161,494.29,1217970.38,1103.62,200,0.245,0.13,0.135,0.18,0.045,0.11,0.155,28.57,130.53,11.42,38,1.00,http://pbs.twimg.com/profile_images/988196554916945920/jhd0K0RE_normal.jpg,https://pbs.twimg.com/profile_images/988196554916945920/jhd0K0RE_normal.jpg
278,Allann221,2262316826,10756,11494,200,159,248.21,176379.77,419.98,200,0.14,0.26,0.155,0.08,0.23,0.125,0.01,28.57,247.96,15.75,106,1.06,http://pbs.twimg.com/profile_images/1005519869188722688/0eow7_T3_normal.jpg,https://pbs.twimg.com/profile_images/1005519869188722688/0eow7_T3_normal.jpg
279,Illumigato,276361003,7379,5745,200,168,877.21,1965562.14,1401.99,200,0.165,0.105,0.15,0.17,0.16,0.16,0.09,28.57,34.82,5.90,0,0.00,http://pbs.twimg.com/profile_images/1006395620528095234/EEWB_2qx_normal.jpg,https://pbs.twimg.com/profile_images/1006395620528095234/EEWB_2qx_normal.jpg
280,aragaomatt,784212623621517313,1553,555,200,173,1223.31,4458479.27,2111.51,200,0.14,0.11,0.14,0.11,0.245,0.135,0.12,28.57,75.39,8.68,30,1.07,http://pbs.twimg.com/profile_images/991769423403941889/Z4DMotKg_normal.jpg,https://pbs.twimg.com/profile_images/991769423403941889/Z4DMotKg_normal.jpg
281,brunovierah,382927865,133,88,200,175,16867.62,652950587.28,25552.90,200,0.17,0.225,0.165,0.11,0.145,0.11,0.075,28.57,84.24,9.18,6,1.00,http://pbs.twimg.com/profile_images/1004854608701911040/qEIu8szP_normal.jpg,https://pbs.twimg.com/profile_images/1004854608701911040/qEIu8szP_normal.jpg
282,itsmeleosoares,3092204476,3268,3072,200,168,240.01,83584.87,289.11,200,0.385,0.315,0.17,0.105,0.025,0.0,0.0,28.57,829.39,28.80,15,1.00,http://pbs.twimg.com/profile_images/1007087381374210053/uDis7kxO_normal.jpg,https://pbs.twimg.com/profile_images/1007087381374210053/uDis7kxO_normal.jpg
283,ju_ninho85,242801480,5913,5978,200,167,190.92,96997.09,311.44,200,0.135,0.05,0.16,0.06,0.315,0.17,0.11,28.57,270.24,16.44,32,1.14,http://pbs.twimg.com/profile_images/1006363784947163137/7Ya676qc_normal.jpg,https://pbs.twimg.com/profile_images/1006363784947163137/7Ya676qc_normal.jpg
284,bielcarva11,2736835229,26886,28886,200,173,2944.87,20638034.22,4542.91,200,0.09,0.105,0.12,0.21,0.18,0.115,0.18,28.57,73.10,8.55,333,1.99,http://pbs.twimg.com/profile_images/1002389560154877953/ZZZ-oXAl_normal.jpg,https://pbs.twimg.com/profile_images/1002389560154877953/ZZZ-oXAl_normal.jpg
285,PedroMarcelloX,965061136730218502,8246,7438,200,174,57.40,4510.39,67.16,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.57,4897.96,69.99,107,1.06,http://pbs.twimg.com/profile_images/1006557275744587776/ohTghC8L_normal.jpg,https://pbs.twimg.com/profile_images/1006557275744587776/ohTghC8L_normal.jpg
286,MariaLeao27,964166033702604800,444,546,200,160,7.47,129.16,11.36,200,0.0,0.0,0.0,0.885,0.115,0.0,0.0,28.57,3734.82,61.11,7,1.75,http://pbs.twimg.com/profile_images/1005219902314156032/78bvU47P_normal.jpg,https://pbs.twimg.com/profile_images/1005219902314156032/78bvU47P_normal.jpg
287,isaacmarreiro,109984979,7138,2610,200,161,199.82,265059.90,514.84,200,0.075,0.13,0.235,0.24,0.115,0.095,0.11,28.57,153.39,12.38,42,1.68,http://pbs.twimg.com/profile_images/965618512063614982/-3aECZBm_normal.jpg,https://pbs.twimg.com/profile_images/965618512063614982/-3aECZBm_normal.jpg
288,jordanio_alla,887832359755816961,1059,1187,200,177,11079.54,323027165.34,17972.96,200,0.095,0.12,0.21,0.095,0.14,0.18,0.16,28.57,64.53,8.03,27,1.00,http://pbs.twimg.com/profile_images/990245292233633793/-c7qm2RQ_normal.jpg,https://pbs.twimg.com/profile_images/990245292233633793/-c7qm2RQ_normal.jpg
289,igorbroficial,932644828621541377,670,1271,200,183,16364.35,482959612.91,21976.34,200,0.135,0.135,0.16,0.16,0.195,0.095,0.12,28.57,35.67,5.97,51,1.42,http://pbs.twimg.com/profile_images/1007476415703453696/EsPCz3En_normal.jpg,https://pbs.twimg.com/profile_images/1007476415703453696/EsPCz3En_normal.jpg
290,Loren_hoff04,945163620333301760,58,156,200,158,428.22,819184.19,905.09,200,0.305,0.225,0.18,0.125,0.115,0.005,0.045,28.57,366.24,19.14,3,1.00,http://pbs.twimg.com/profile_images/945176341636374530/eKn4KPD9_normal.jpg,https://pbs.twimg.com/profile_images/945176341636374530/eKn4KPD9_normal.jpg
